# StartTime = 12/06/2024 07:50:34.4884 AM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F)
0.000,0,0,0,0
0.339,0,14.497,701.25,174.2
0.563,0,14.507,707,174.2
0.803,0,14.507,699.5,174.2
1.011,0,14.507,705.75,174.2
1.862,0,14.507,709.5,174.2
2.103,0,14.507,703.75,174.2
2.358,0,14.507,702.25,174.2
2.584,0,14.507,706.75,174.2
2.808,0,14.507,705.25,174.2
3.048,0,14.507,707.75,174.2
3.325,0,14.507,699.75,174.2
3.526,0,14.385,700.25,174.2
3.769,0,14.385,698.5,174.2
3.952,0,14.385,694.75,174.2
4.151,0,14.385,697,174.2
4.350,0,14.385,701,174.2
4.591,0,14.385,711.75,174.2
4.816,0,14.385,706.25,174.2
5.025,0,14.385,691.25,174.2
5.266,0,14.385,703.5,174.2
5.589,0,14.385,703.75,174.2
5.780,0,14.468,709,174.2
6.020,0,14.468,706.5,174.2
6.211,0,14.468,701,174.2
6.484,0,14.468,704.25,174.2
6.675,0,14.468,704,174.2
6.883,0,14.468,700.75,174.2
7.114,0,14.468,702.5,174.2
7.337,0,14.468,699,174.2
7.535,0,14.468,701,174.2
7.832,0,14.468,702.75,174.2
8.055,0,14.424,702.5,174.2
8.264,0,14.424,701,174.2
8.453,0,14.424,702.25,174.2
8.686,0,14.424,709,174.2
8.928,0,14.424,702.5,174.2
9.151,0,14.424,703.25,174.2
9.358,0,14.424,705.5,174.2
10.070,0,14.424,703.5,174.2
10.523,0,14.424,708.25,174.2
11.132,0,14.424,701.75,174.2
11.755,0,14.404,706.5,174.2
12.334,0,14.404,706,174.2
12.732,0,14.404,699,174.2
13.269,0,14.404,711.5,174.2
13.676,0,14.404,699.75,174.2
14.403,0,14.404,701.5,174.2
14.735,0,14.404,702.5,174.2
15.092,0,14.404,705.5,174.2
15.504,0,14.404,696.75,174.2
15.934,0,14.404,699.5,174.2
16.321,0,14.414,697.75,174.2
16.765,0,14.414,707,174.2
17.033,0,14.414,707,174.2
17.934,0,14.414,701.5,174.2
18.629,0,14.478,707.25,174.2
19.305,0,14.478,703,174.2
19.951,0,14.478,710.25,174.2
20.339,0,14.478,703,174.2
20.530,0,14.458,703.75,174.2
20.787,0,14.458,705.5,174.2
20.977,0,14.458,709.5,174.2
21.244,0,14.458,703,174.2
21.468,0,14.458,705.75,174.2
21.743,0,14.458,693.5,174.2
21.959,0,14.458,698,174.2
22.183,0,14.458,699.25,174.2
22.414,0,14.458,697,174.2
22.694,0,14.458,703.25,174.2
22.900,0,14.39,703.75,174.2
23.140,0,14.39,706.75,174.2
23.365,0,14.39,707.5,174.2
23.613,0,14.39,704.5,174.2
23.837,0,14.39,702.25,174.2
24.079,0,14.39,700.75,174.2
24.295,0,14.39,703,174.2
24.620,0,14.39,707.75,174.2
24.835,0,14.39,706.5,174.2
25.085,0,14.39,705.25,174.2
25.302,0,14.39,703.25,174.2
25.518,0,14.39,708,174.2
25.756,0,14.39,702.25,174.2
25.970,0,14.39,696,174.2
