# StartTime = 12/07/2024 01:10:21.3391 PM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F), Ambient air temperature (°F), Engine oil temperature (°F), Absolute load value (%), Actual engine - percent torque (%), Barometric pressure (inHg), Total fuel economy (MPG), Total CO2 (lbs), Instant CO2 rate (lb/mile), Instant fuel economy (MPG), Fuel rate (gal/hr), CO2 flow (lb/min)
0.000,0,0,0,0,0,0,0,0,0,0,1.109746,0,0,0.5904987,0.1928553
0.493,0,14.326,1288.75,118.4,33.8,87.8,20.78431,14,29.5301,0,1.110204,0,0,0.5471692,0.178704
0.924,0,14.326,1246.5,118.4,33.8,87.8,21.96078,14,29.5301,0,1.112496,0,0,0.5719249,0.1867891
1.313,0,14.326,1253.5,118.4,33.8,87.8,21.56863,15,29.5301,0,1.113703,0,0,0.5656406,0.1847367
1.706,0,14.326,1267.5,118.4,33.8,87.8,21.17647,14,29.5301,0,1.114957,0,0,0.5593927,0.1826961
2.108,0,14.326,1276.75,118.4,33.8,87.8,20.39216,14,29.5301,0,1.116012,0,0,0.5391013,0.176069
2.512,0,14.326,1280.25,118.4,33.8,87.8,20.78431,14,29.5301,0,1.117336,0,0,0.5931364,0.1937167
2.926,0,14.326,1273.75,118.4,33.8,87.8,21.56863,14,29.5301,0,1.118591,0,0,0.571837,0.1867604
3.347,0,14.326,1259.5,118.4,33.8,87.8,21.96078,14,29.5301,0,1.119837,0,0,0.5603294,0.1830021
3.760,0,14.326,1262.25,118.4,33.8,87.8,21.56863,14,29.5301,0,1.121101,0,0,0.5549842,0.1812563
4.286,0,14.326,1270.75,118.4,33.8,87.8,21.17647,14,29.5301,0,1.122377,0,0,0.580689,0.1896514
4.665,0,14.38,1268.25,118.4,33.8,89.6,21.96078,14,29.5301,0,1.123702,0,0,0.578972,0.1890907
5.099,0,14.38,1277.5,118.4,33.8,89.6,21.17647,14,29.5301,0,1.125348,0,0,0.5656406,0.1847367
5.494,0,14.38,1279,118.4,33.8,89.6,21.17647,14,29.5301,0,1.126477,0,0,0.5859641,0.1913743
5.896,0,14.38,1258,118.4,33.8,89.6,21.17647,14,29.5301,0,1.127982,0,0,0.5921602,0.1933979
6.250,0,14.38,1258,118.4,33.8,89.6,21.17647,14,29.5301,0,1.129183,0,0,0.5593927,0.1826961
6.763,0,14.38,1268.25,118.4,33.8,89.6,21.56863,14,29.5301,0,1.130317,0,0,0.5505415,0.1798054
7.175,0,14.38,1277,118.4,33.8,89.6,20.78431,14,29.5301,0,1.131524,0,0,0.554099,0.1809672
7.607,0,14.38,1266.5,118.4,33.8,89.6,21.17647,14,29.5301,0,1.132902,0,0,0.5408551,0.1766418
7.967,0,14.38,1256,118.4,33.8,89.6,21.17647,14,29.5301,0,1.134197,0,0,0.5478862,0.1789381
8.530,0,14.38,1264.25,118.4,33.8,89.6,21.96078,14,29.5301,0,1.135362,0,0,0.5346095,0.174602
9.036,0,14.331,1261.5,120.2,33.8,89.6,21.17647,14,29.5301,0,1.136534,0,0,0.5904261,0.1928316
9.475,0,14.331,1266.5,120.2,33.8,89.6,21.17647,14,29.5301,0,1.138626,0,0,0.5434439,0.1774873
9.831,0,14.331,1282.5,120.2,33.8,89.6,20.78431,14,29.5301,0,1.139869,0,0,0.5859821,0.1913802
10.300,0,14.331,1276.25,120.2,33.8,89.6,21.17647,14,29.5301,0,1.141237,0,0,0.5886558,0.1922534
10.721,0,14.331,1263.5,120.2,33.8,89.6,21.56863,14,29.5301,0,1.142319,0,0,0.5611112,0.1832574
11.132,0,14.331,1256.25,120.2,33.8,89.6,21.17647,14,29.5301,0,1.143846,0,0,0.5806355,0.189634
11.515,0,14.331,1253,120.2,33.8,89.6,21.56863,14,29.5301,0,1.145128,0,0,0.5725815,0.1870035
11.995,0,14.331,1269.75,120.2,33.8,89.6,20.78431,14,29.5301,0,1.146403,0,0,0.580582,0.1896165
12.410,0,14.331,1268.25,120.2,33.8,89.6,21.56863,14,29.5301,0,1.147696,0,0,0.5841041,0.1907668
12.903,0,14.331,1260.75,120.2,33.8,89.6,21.17647,14,29.5301,0,1.149206,0,0,0.5611629,0.1832743
13.265,0,14.336,1252.5,120.2,33.8,91.4,20.78431,14,29.5301,0,1.150371,0,0,0.5823341,0.1901887
